iter	Passed	Remaining
0	4	4597
1	9	4942
2	14	4735
3	16	4145
4	20	4061
5	38	6331
6	46	6607
7	50	6306
8	54	5978
9	56	5638
10	59	5307
11	63	5260
12	66	5013
13	68	4833
14	71	4675
15	73	4540
16	78	4523
17	79	4349
18	81	4198
19	83	4090
20	87	4085
21	91	4069
22	92	3947
23	94	3836
24	95	3742
25	101	3793
26	102	3709
27	104	3632
28	119	4007
29	121	3926
30	123	3852
31	142	4316
32	144	4229
33	146	4155
34	148	4107
35	153	4114
36	155	4051
37	157	3981
38	159	3919
39	160	3857
40	183	4290
41	185	4226
42	187	4163
43	188	4104
44	190	4044
45	192	3997
46	204	4143
47	213	4224
48	229	4459
49	236	4493
50	242	4508
51	249	4543
52	255	4568
53	279	4904
54	281	4834
55	282	4768
56	289	4784
57	291	4728
58	294	4690
59	300	4707
60	302	4659
61	304	4612
62	307	4567
63	313	4580
64	316	4546
65	342	4849
66	349	4872
67	353	4840
68	356	4807
69	359	4779
70	362	4746
71	365	4708
72	368	4677
73	370	4640
74	380	4689
75	383	4663
76	386	4627
77	401	4751
78	405	4731
79	408	4696
80	421	4779
81	427	4785
82	429	4746
83	436	4761
84	438	4719
85	441	4688
86	444	4667
87	454	4714
88	462	4729
89	467	4723
90	469	4686
91	471	4654
92	484	4723
93	491	4741
94	499	4756
95	502	4736
96	504	4700
97	506	4665
98	508	4631
99	510	4594
100	512	4563
101	514	4525
102	515	4491
103	517	4454
104	523	4463
105	525	4428
106	531	4432
107	532	4398
108	558	4567
109	560	4538
110	564	4519
111	566	4492
112	568	4464
113	571	4439
114	573	4412
115	575	4385
116	577	4357
117	579	4328
118	580	4299
119	582	4270
120	588	4272
121	595	4288
122	597	4261
123	599	4235
124	601	4213
125	604	4196
126	607	4176
127	609	4153
128	616	4165
129	619	4147
130	622	4128
131	634	4170
132	636	4149
133	665	4297
134	669	4290
135	673	4276
136	677	4269
137	681	4259
138	686	4255
139	690	4240
140	694	4230
141	698	4219
142	701	4203
143	708	4213
144	712	4201
145	716	4190
146	719	4174
147	722	4157
148	744	4253
149	746	4227
150	754	4241
151	762	4252
152	764	4231
153	766	4209
154	767	4184
155	771	4172
156	772	4148
157	773	4124
158	775	4100
159	779	4090
160	783	4085
161	785	4063
162	789	4052
163	791	4033
164	792	4010
165	794	3989
166	801	3997
167	803	3978
168	804	3957
169	806	3936
170	807	3916
171	812	3909
172	814	3891
173	816	3874
174	821	3874
175	823	3857
176	830	3861
177	832	3844
178	833	3824
179	835	3806
180	837	3789
181	839	3773
182	841	3758
183	846	3753
184	848	3738
185	851	3727
186	854	3712
187	856	3697
188	857	3681
189	859	3664
190	861	3650
191	871	3667
192	873	3651
193	875	3638
194	878	3626
195	886	3637
196	888	3623
197	891	3609
198	895	3605
199	897	3590
200	902	3587
201	906	3582
202	908	3567
203	910	3552
204	916	3553
205	917	3537
206	921	3531
207	923	3516
208	933	3533
209	934	3517
210	936	3501
211	937	3485
212	940	3473
213	944	3468
214	946	3454
215	947	3440
216	957	3456
217	959	3442
218	962	3430
219	963	3415
220	964	3400
221	972	3408
222	974	3396
223	979	3392
224	990	3410
225	994	3405
226	995	3390
227	1002	3393
228	1010	3400
229	1011	3386
230	1012	3372
231	1014	3358
232	1019	3355
233	1031	3376
234	1033	3364
235	1036	3354
236	1038	3343
237	1042	3337
238	1043	3323
239	1047	3317
240	1051	3312
241	1053	3301
242	1055	3287
243	1056	3273
244	1058	3260
245	1066	3269
246	1081	3298
247	1083	3285
248	1085	3274
249	1087	3261
250	1091	3257
251	1098	3260
252	1114	3291
253	1124	3301
254	1140	3331
255	1144	3326
256	1146	3313
257	1149	3307
258	1151	3294
259	1152	3281
