iter	Passed	Remaining
0	3	3859
1	5	2913
2	7	2568
3	9	2416
4	11	2295
5	25	4246
6	29	4206
7	32	4033
8	34	3818
9	36	3601
10	38	3446
11	43	3541
12	44	3371
13	46	3261
14	48	3167
15	50	3120
16	55	3189
17	57	3109
18	58	3020
19	60	2943
20	63	2976
21	70	3115
22	71	3057
23	74	3032
24	77	3005
25	83	3122
26	85	3077
27	87	3052
28	108	3631
29	111	3596
30	114	3572
31	135	4105
32	137	4022
33	138	3941
34	141	3890
35	146	3920
36	148	3875
37	150	3817
38	152	3759
39	153	3694
40	175	4097
41	177	4037
42	179	4000
43	182	3955
44	183	3904
45	185	3853
46	197	3995
47	205	4081
48	218	4233
49	222	4222
50	228	4248
51	233	4258
52	239	4274
53	267	4683
54	269	4634
55	272	4590
56	282	4665
57	284	4621
58	287	4581
59	293	4595
60	296	4565
61	300	4540
62	303	4517
63	309	4533
64	312	4497
65	332	4707
66	337	4699
67	339	4653
68	341	4607
69	343	4558
70	344	4508
71	346	4462
72	348	4420
73	350	4382
74	359	4427
75	361	4396
76	363	4362
77	378	4473
78	383	4473
79	386	4445
80	402	4561
81	408	4569
82	410	4534
83	416	4545
84	418	4508
85	421	4474
86	423	4442
87	430	4456
88	435	4453
89	440	4454
90	442	4420
91	445	4392
92	451	4406
93	458	4418
94	463	4416
95	467	4401
96	469	4368
97	470	4334
98	472	4299
99	473	4264
100	475	4229
101	476	4195
102	478	4164
103	479	4131
104	484	4130
105	486	4100
106	492	4107
107	493	4076
108	513	4198
109	515	4168
110	516	4138
111	518	4113
112	520	4088
113	522	4061
114	523	4032
115	525	4003
116	526	3976
117	528	3950
118	529	3923
119	531	3896
120	535	3893
121	541	3896
122	542	3871
123	544	3846
124	546	3822
125	547	3797
126	549	3775
127	550	3753
128	557	3763
129	558	3740
130	560	3718
131	572	3764
132	573	3740
133	592	3831
134	594	3808
135	595	3784
136	597	3762
137	599	3741
138	600	3720
139	602	3699
140	604	3679
141	605	3657
142	606	3635
143	610	3630
144	611	3608
145	613	3588
146	615	3570
147	617	3552
148	629	3597
149	632	3581
150	640	3598
151	648	3615
152	649	3597
153	651	3577
154	652	3558
155	656	3550
156	657	3531
157	659	3512
158	660	3494
159	664	3491
160	668	3484
161	670	3465
162	674	3461
163	675	3444
164	677	3428
165	679	3413
166	686	3423
167	688	3407
168	689	3390
169	690	3372
170	692	3355
171	696	3354
172	698	3339
173	700	3323
174	704	3321
175	706	3306
176	712	3312
177	713	3297
178	715	3281
179	716	3265
180	718	3248
181	719	3232
182	721	3220
183	723	3208
184	725	3195
185	727	3185
186	730	3175
187	732	3163
188	733	3149
189	735	3137
190	737	3124
191	746	3139
192	747	3125
193	748	3111
194	750	3098
195	755	3101
196	757	3088
197	759	3076
198	764	3075
199	765	3062
200	769	3058
201	772	3052
202	774	3038
203	775	3027
204	782	3035
205	784	3023
206	787	3018
207	789	3006
208	801	3032
209	802	3019
210	804	3007
211	805	2994
212	807	2983
213	812	2982
214	813	2969
215	814	2957
216	823	2971
217	825	2959
218	826	2948
219	828	2936
220	829	2925
221	835	2929
222	837	2918
223	842	2917
224	851	2934
225	855	2930
226	857	2921
227	863	2923
228	866	2918
229	868	2907
230	869	2894
231	871	2883
232	875	2883
233	886	2902
234	888	2891
235	890	2884
236	892	2874
237	897	2874
238	899	2864
239	904	2863
240	910	2866
241	911	2855
242	913	2845
243	915	2835
244	916	2823
245	927	2843
246	943	2877
247	945	2867
248	946	2856
249	948	2844
250	952	2841
251	958	2846
252	974	2878
253	981	2883
254	999	2920
255	1005	2921
256	1006	2911
257	1011	2907
258	1012	2896
259	1014	2886
260	1016	2876
261	1024	2886
262	1029	2884
263	1042	2906
264	1044	2896
265	1045	2885
266	1055	2897
267	1057	2888
268	1066	2897
269	1068	2888
270	1070	2879
271	1071	2869
272	1076	2866
273	1080	2863
274	1089	2871
275	1090	2860
276	1092	2850
277	1096	2848
278	1098	2839
279	1101	2831
280	1103	2824
281	1106	2818
282	1111	2815
283	1114	2809
284	1128	2831
285	1131	2823
286	1132	2814
287	1134	2805
288	1136	2796
289	1138	2788
290	1150	2802
291	1153	2796
292	1164	2810
293	1166	2800
294	1167	2789
295	1168	2780
296	1170	2770
297	1174	2767
298	1176	2758
299	1178	2749
300	1179	2740
301	1181	2731
302	1183	2722
303	1184	2712
304	1186	2704
305	1188	2695
306	1190	2687
307	1192	2678
308	1193	2669
309	1195	2659
310	1196	2650
311	1198	2642
312	1199	2633
313	1201	2624
314	1202	2615
315	1208	2615
316	1209	2606
317	1217	2610
318	1218	2601
319	1220	2593
320	1222	2585
321	1235	2601
322	1237	2593
323	1239	2586
324	1240	2577
325	1245	2574
326	1247	2567
327	1249	2558
328	1254	2557
329	1258	2554
330	1259	2545
331	1264	2545
332	1269	2543
333	1274	2541
334	1279	2539
335	1281	2532
336	1286	2531
337	1288	2523
338	1289	2515
339	1291	2506
340	1292	2498
341	1296	2494
342	1297	2485
343	1299	2477
344	1301	2470
345	1306	2468
346	1307	2461
347	1314	2462
348	1316	2456
349	1318	2449
350	1320	2442
351	1327	2443
352	1328	2435
353	1332	2431
354	1334	2424
355	1338	2420
356	1339	2412
357	1340	2404
358	1349	2409
359	1354	2407
360	1355	2399
361	1357	2392
362	1359	2385
363	1373	2399
364	1374	2391
365	1376	2384
366	1379	2379
367	1397	2399
368	1402	2398
369	1404	2391
370	1406	2383
371	1407	2376
372	1409	2368
373	1410	2361
374	1412	2353
375	1413	2346
